faktura   datum   cena   p/v
Faktura1;23.06.1998;20100;P
Faktura2;03.04.1998;19800;P
Faktura3;21.01.2000;13455;P
Faktura4;01.05.2001;7899;P
Faktura5;11.03.2000;2500;V
Faktura6;17.07.2000;430;V
Faktura7;21.01.1999;10342;V
Faktura8;14.08.2001;88890;V
Faktura9;31.08.1998;56780;V
Faktura10;27.09.1999;2387;P
Faktura11;10.10.2000;136;P
Faktura12;09.11.1998;800;P
Faktura13;02.12.2000;1590;P
Faktura14;13.03.2000;655;V
Faktura15;20.07.2000;7850;V
Faktura16;19.09.1998;542;V
Faktura17;01.02.2000;98000;P
Faktura18;28.04.1999;35690;P
Faktura19;11.09.2001;35000;V
Faktura20;19.09.1999;1200;V
